Layer,Run Time,Build Time,Compression Ratio,Bits per Symbol
0,0.004430532455444336,0.05610084533691406,1.2764542936288088,6.267361111111111
1,0.0011506080627441406,0.008535623550415039,1.3434402332361517,5.954861111111111
2,0.0023992061614990234,0.008539199829101562,1.1817657241777264,6.76953125
3,0.009552955627441406,0.008390426635742188,1.2101634823714793,6.610677083333333
4,0.00439906120300293,0.0084381103515625,1.2205544764259226,6.554398148148148
5,0.01835775375366211,0.00850534439086914,1.128720146968769,7.087673611111111
6,0.036751747131347656,0.008515596389770508,1.1782152902071081,6.789930555555555
7,0.007851362228393555,0.008742332458496094,1.1835616438356165,6.7592592592592595
8,0.0344696044921875,0.008545160293579102,1.2074416979648879,6.625578703703703
9,0.03444647789001465,0.008619308471679688,1.2141226067099948,6.58912037037037
10,0.006590366363525391,0.00856161117553711,1.3292307692307692,6.018518518518518
11,0.05814480781555176,0.008652448654174805,1.1860240653754586,6.745225694444445
12,0.09732294082641602,0.008614063262939453,1.1872177000555542,6.738444010416667
13,0.010267257690429688,0.22609758377075195,1.304643261608154,6.131944444444445
14,0.09971213340759277,0.008567571640014648,1.1711501346231743,6.830891927083333
15,0.0974581241607666,0.008635759353637695,1.185671209745507,6.747233072916667
16,0.011231660842895508,0.008605718612670898,1.2397094430992737,6.453125
17,0.09828352928161621,0.008626222610473633,1.17532281205165,6.806640625
18,0.09433674812316895,0.008621931076049805,1.2051194037169617,6.638346354166667
19,0.010960102081298828,0.008649587631225586,1.2167942962767362,6.574652777777778
20,0.36054015159606934,0.008677244186401367,1.1877197433759832,6.735595703125
21,1.2555887699127197,0.008709192276000977,1.2286617755502507,6.511149088541667
22,0.02971339225769043,0.009029865264892578,1.3103938575287928,6.105034722222222
23,1.2353150844573975,0.008634090423583984,1.2330076385666084,6.488199869791667
24,1.3564820289611816,0.00890970230102539,1.1927491567376058,6.707194010416667
25,0.024088144302368164,0.009129762649536133,1.4410507661836756,5.55150462962963
26,1.2398581504821777,0.008727312088012695,1.2334098693868334,6.486083984375
27,1.3913617134094238,0.008864164352416992,1.17968103106887,6.781494140625
28,0.03188729286193848,0.008887529373168945,1.2519471110306104,6.390046296296297
29,1.1340398788452148,0.008542537689208984,1.2750359926847301,6.274332682291667
30,1.334578037261963,0.008934259414672852,1.1991948764867337,6.671142578125
31,0.028057336807250977,0.008912324905395508,1.382953181272509,5.784722222222222
32,2.5318167209625244,0.008579492568969727,1.2730930282754156,6.283908420138889
33,6.272460222244263,0.008992910385131836,1.220214435651375,6.556224681712963
34,0.04637908935546875,0.009623289108276367,1.4538315922316483,5.502700617283951
35,6.616806268692017,0.008588790893554688,1.1945657369226905,6.696994357638889
36,4.833763837814331,0.00921940803527832,1.3438156919450284,5.953197337962963
37,0.05134868621826172,0.009068489074707031,1.3866987661751429,5.769097222222222
38,4.256171226501465,0.00855708122253418,1.3932016666719158,5.7421694155092595
39,5.715650320053101,0.008948326110839844,1.2654813840058359,6.321705005787037
40,0.06077241897583008,0.009018659591674805,1.2368256240493871,6.468171296296297
41,18.94706892967224,0.008336305618286133,1.1948174017323945,6.695583767361111
42,36.11310887336731,0.010686874389648438,1.3675594161607505,5.849837239583334
43,0.1370227336883545,0.010498523712158203,1.4576435605980724,5.488310185185185
44,52.54161262512207,0.008566141128540039,1.215789832997098,6.580084635416667
45,46.12625050544739,0.010792255401611328,1.2856515097616605,6.222526041666667
46,0.12645435333251953,0.011513233184814453,1.3801090190284129,5.796643518518518
47,50.2795569896698,0.009142637252807617,1.2517189744216606,6.3912109375
48,38.65519595146179,0.010489702224731445,1.333703806612948,5.998333333333333
49,0.1156306266784668,0.0117950439453125,1.4277156961973023,5.603356481481481
50,271.59853410720825,0.0090789794921875,1.1841264610056401,6.75603515625
